model,split,accuracy,precision_macro,recall_macro,f1_macro,f1_phishing,false_negative_rate,auc
Logistic Regression,val,0.994,0.9940711462450593,0.994,0.9939997839922237,0.993963782696177,0.012,0.9996284444444443
Logistic Regression,test,0.994,0.9940430366378582,0.994,0.9939998693304877,0.9939718687206965,0.010666666666666666,0.9990915555555555
Random Forest,val,0.9953333333333333,0.9953764861294584,0.9953333333333334,0.9953332317014905,0.9953114534494307,0.009333333333333334,0.9991875555555556
Random Forest,test,0.996,0.996031746031746,0.996,0.995999935998976,0.9959839357429718,0.008,0.998632888888889
XGBoost,val,0.996,0.996031746031746,0.996,0.995999935998976,0.9959839357429718,0.008,0.9983644444444444
XGBoost,test,0.996,0.996031746031746,0.996,0.995999935998976,0.9959839357429718,0.008,0.9980853333333333
